ATS,COD_ENTE,DENOM_ENTE,COD_STRUTTURA,COD_SUB,MAX LIVELLO EMERGENZA,DENOM_STRUTTURA,COD_TIPO_STR,DESCR_TIPO_STR,DATA_APERTURA,DATA_CHIUSURA,INDIRIZZO,CAP,CODICE COMUNE STRUTTURA RICOVERO,LOCALITA,TELEFONO,FAX,E-MAIL STRUTTURA RICOVERO,SITO_WEB,LIV_EMERG,PRONTO SOCCORSO,PS_PEDIATRICO,PUNTO PRIMO INTERVENTO,TIPO LIVELLO EMERGENZA
325,720,ASST DI BERGAMO EST,030382,00,2 - PS,OSPEDALE M. O. ANTONIO LOCATELLI-PIARIO,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,01/01/2009,,"VIA GROPPINI,22",24020,016163,PIARIO,0353066211,0353066251,dirmed.piario@asst-bergamoest.it,,PS,X,,,
325,720,ASST DI BERGAMO EST,030137,00,2 - PS,OSP.LE SS.CAPITANIO E GEROSA - LOVERE,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,01/01/1988,,"VIA MARTINOLI, 9A",24065,016128,LOVERE,0353067111,0353067262,dirmed.lovere@asst-bergamoest.it,,PS,X,,,
321,708,ASST MELEGNANO E DELLA MARTESANA,030072,01,3 - DEA,OSPEDALE DI  VIZZOLO PREDABISSI,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,01/01/2015,,VIA PANDINA 1,20070,015244,VIZZOLO PREDABISSI,0298052255,0298052500,dirsan.vizzolo@asst-melegnano-martesana.it,,DEA-PS,X,X,,1-DEA
321,708,ASST MELEGNANO E DELLA MARTESANA,030072,01,3 - DEA,OSPEDALE DI  VIZZOLO PREDABISSI,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,01/01/2015,,VIA PANDINA 1,20070,015244,VIZZOLO PREDABISSI,0298052255,0298052500,dirsan.vizzolo@asst-melegnano-martesana.it,,DEA-PS,X,X,,1-DEA
326,722,ASST DELLA FRANCIACORTA,030722,00,,ASST DELLA FRANCIACORTA,0,AZIENDA OSPEDALIERA,01/01/2016,,VIALE MAZZINI N. 4,25032,017052,CHIARI,0307102,,,,Senza livello emergenza,,,,
326,723,ASST DEL GARDA,030723,00,,ASST DEL GARDA,0,AZIENDA OSPEDALIERA,01/01/2016,,LOCALIT¿ MONTECROCE,25015,017067,DESENZANO DEL GARDA,03091451,,,,Senza livello emergenza,,,,
321,708,ASST MELEGNANO E DELLA MARTESANA,030708,00,,ASST MELEGNANO E DELLA MARTESANA,0,AZIENDA OSPEDALIERA,01/01/2016,,VIA PANDINA N. 1,20070,015244,VIZZOLO PREDABISSI,0298051,,,,Senza livello emergenza,,,,
321,703,ASST FATEBENEFRATELLI SACCO,030703,00,,ASST FATEBENEFRATELLI SACCO,0,AZIENDA OSPEDALIERA,01/01/2016,,VIA G.B. GRASSI N. 74,20157,015146,MILANO,0239041,,,,Senza livello emergenza,,,,
324,931,IST.SCIENT. E. MEDEA - BOSISIO PARINI,030931,00,,ISTITUTO SCIENTIFICO MEDEA-BOSISIO P.,32,ISTITUTO DI RICOVERO E CURA A CARATTERE SCIENTIFICO - PRIVATO,01/01/1995,,"VIA DON L. MONZA, 20",23842,097009,BOSISIO PARINI,031 877111,,,,Senza livello emergenza,,,,
321,709,ASST DI LODI,030709,00,,ASST DI LODI,0,AZIENDA OSPEDALIERA,01/01/2016,,VIA FISSIRAGA N. 15,26900,098031,LODI,0371371,,,,Senza livello emergenza,,,,
324,324,ATS DELLA BRIANZA,030109,00,1 - PPI,CASA DI CURA VILLA BIANCA - LIMBIATE,51,CASA DI CURA ACCREDITATA A CONTRATTO,01/01/2009,,VIA F.LLI BANDIERA 3,20812,108027,LIMBIATE,02242091,0299656110,,,PPI,,,X,
327,726,ASST DI CREMA,030726,00,,ASST DI CREMA,0,AZIENDA OSPEDALIERA,01/01/2016,,LARGO UGO DOSSENA N. 2,26013,019035,CREMA,03732801,,,,Senza livello emergenza,,,,
325,719,ASST DI BERGAMO OVEST,030719,00,,ASST DI BERGAMO OVEST,0,AZIENDA OSPEDALIERA,01/01/2016,,P.LE OSPEDALE N. 1,24047,016219,TREVIGLIO,03634241,,,,Senza livello emergenza,,,,
321,702,ASST SANTI PAOLO E CARLO,030702,00,,ASST SANTI PAOLO E CARLO,0,AZIENDA OSPEDALIERA,01/01/2016,,VIA A. DI RUDIN¿ N. 8,20122,015146,MILANO,0281841,,,,Senza livello emergenza,,,,
321,705,ASST OVEST MILANESE,030705,00,,ASST OVEST MILANESE,0,AZIENDA OSPEDALIERA,01/01/2016,,VIA PAPA GIOVANNI PAOLO II C.P. 3,20025,015118,LEGNANO,0331449111,,,,Senza livello emergenza,,,,
321,702,ASST SANTI PAOLO E CARLO,030702,00,,ASST SANTI PAOLO E CARLO,0,AZIENDA OSPEDALIERA,01/01/2016,,VIA A. DI RUDIN¿ N. 8,20122,015146,MILANO,0281841,,,,Senza livello emergenza,,,,
321,708,ASST MELEGNANO E DELLA MARTESANA,030071,02,,OSPEDALE SERBELLONI - GORGONZOLA,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,01/01/2015,,"VIA BELLINI, 5",20064,015108,GORGONZOLA,02957071,029516573,,,Senza livello emergenza,,,,
321,708,ASST MELEGNANO E DELLA MARTESANA,030071,02,,OSPEDALE SERBELLONI - GORGONZOLA,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,01/01/2015,,"VIA BELLINI, 5",20064,015108,GORGONZOLA,02957071,029516573,,,Senza livello emergenza,,,,
326,722,ASST DELLA FRANCIACORTA,030180,00,,PRESIDIO OSPEDALIERO DI ROVATO,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,01/01/1984,,VIA LARGO PAOLO VI,25038,017166,ROVATO,03072451,0307245350,,,Senza livello emergenza,,,,
325,720,ASST DI BERGAMO EST,030720,00,,ASST DI BERGAMO EST,0,AZIENDA OSPEDALIERA,01/01/2016,,VIA PADERNO N. 21,24068,016198,SERIATE,0353063750,,,,Senza livello emergenza,,,,
322,711,ASST DELLA VALLE OLONA,030711,00,,ASST DELLA VALLE OLONA,0,AZIENDA OSPEDALIERA,01/01/2016,,VIA A. DA BRESCIA N. 1,20152,012026,BUSTO ARSIZIO,0331381800,,,,Senza livello emergenza,,,,
321,708,ASST MELEGNANO E DELLA MARTESANA,030085,02,1 - PPI,OSPEDALE CROTTA OLTROCCHI-VAPRIO D'ADDA,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,01/01/2015,,VIA DON MOLETTA 22,20069,015230,VAPRIO D'ADDA,02909351,0290935493,,,PPI,,,X,
321,708,ASST MELEGNANO E DELLA MARTESANA,030085,02,1 - PPI,OSPEDALE CROTTA OLTROCCHI-VAPRIO D'ADDA,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,01/01/2015,,VIA DON MOLETTA 22,20069,015230,VAPRIO D'ADDA,02909351,0290935493,,,PPI,,,X,
327,327,ATS DELLA VAL PADANA,030380,00,,OSPEDALE DI VIADANA,51,CASA DI CURA ACCREDITATA A CONTRATTO,01/05/2008,31/12/2017,"L.GO DE GASPERI, 7",46019,020066,VIADANA,0375830985,0375821780,info.opv@consorzioinrete.it,,Senza livello emergenza,,,,
327,327,ATS DELLA VAL PADANA,030380,00,,OSPEDALE DI VIADANA,51,CASA DI CURA ACCREDITATA A CONTRATTO,01/05/2008,31/12/2017,"L.GO DE GASPERI, 7",46019,020066,VIADANA,0375830985,0375821780,info.opv@consorzioinrete.it,,Senza livello emergenza,,,,
321,705,ASST OVEST MILANESE,030705,00,,ASST OVEST MILANESE,0,AZIENDA OSPEDALIERA,01/01/2016,,VIA PAPA GIOVANNI PAOLO II C.P. 3,20025,015118,LEGNANO,0331449111,,,,Senza livello emergenza,,,,
327,327,ATS DELLA VAL PADANA,030357,00,2 - PS,OSP. SAN PELLEGRINO - CASTIGLIONE D/S,51,CASA DI CURA ACCREDITATA A CONTRATTO,01/01/2005,,"VIA GARIBALDI, 65",46043,020017,CASTIGLIONE DELLE STIVIERE,0376635301,0376635229,direzione@ospedalecastiglione.it,,PS,X,,,
327,327,ATS DELLA VAL PADANA,030357,00,2 - PS,OSP. SAN PELLEGRINO - CASTIGLIONE D/S,51,CASA DI CURA ACCREDITATA A CONTRATTO,01/01/2005,,"VIA GARIBALDI, 65",46043,020017,CASTIGLIONE DELLE STIVIERE,0376635301,0376635229,direzione@ospedalecastiglione.it,,PS,X,,,
324,717,ASST DI VIMERCATE,030717,00,,ASST DI VIMERCATE,0,AZIENDA OSPEDALIERA,01/01/2016,,VIA SANTI COSMA E DAMIANO N. 10,20871,108050,VIMERCATE,0396654384,,,,Senza livello emergenza,,,,
321,707,ASST NORD MILANO,030707,00,,ASST NORD MILANO,0,AZIENDA OSPEDALIERA,01/01/2016,,VIALE GIACOMO MATTEOTTI 83,20099,015209,SESTO SAN GIOVANNI,0257991,,,,Senza livello emergenza,,,,
321,705,ASST OVEST MILANESE,030074,00,3 - DEA,OSPEDALE DI MAGENTA - ABBIATEGRASSO,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,01/01/1995,,VIA AL DONATORE DI SANGUE   N.50,20013,015130,MAGENTA,02979631,0297963235,dirsanmagenta@asst-ovestmi.it,www.asst-ovestmi.it,DEA-PS,X,X,,1-DEA
321,702,ASST SANTI PAOLO E CARLO,030914,00,3 - DEA,OSPEDALE S. PAOLO - MILANO,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,01/01/1995,,"VIA A. DI RUDINI', 8",20142,015146,MILANO,02  818441,0289120107,,,DEA-PS,X,X,,1-DEA
325,720,ASST DI BERGAMO EST,030140,00,3 - DEA,OSPEDALE BOLOGNINI - SERIATE,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,01/01/1984,,"VIA PADERNO, 21",24068,016198,SERIATE,035 3063111,0353063220,dirmed.seriate@asst-bergamoest.it,,DEA-PS,X,,,1-DEA
325,325,ATS DI BERGAMO,030360,00,,FERB-ONLUS C.TRO ALZHEIMER-GAZZANIGA,51,CASA DI CURA ACCREDITATA A CONTRATTO,01/05/2005,,"VIA MANZONI, 130",24025,016111,GAZZANIGA,035 306511,,ferb-trescore@ferbonlus.com,,Senza livello emergenza,,,,
321,708,ASST MELEGNANO E DELLA MARTESANA,030072,00,3 - DEA,OSPEDALE DI  VIZZOLO PREDABISSI,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,01/01/1984,,VIA PANDINA 1,20070,015244,VIZZOLO PREDABISSI,02  98051,0298052501,dirsan.vizzolo@asst-melegnano-martesana.it,,DEA-PS,X,X,,1-DEA
327,327,ATS DELLA VAL PADANA,030357,00,2 - PS,OSP. SAN PELLEGRINO - CASTIGLIONE D/S,51,CASA DI CURA ACCREDITATA A CONTRATTO,01/01/2005,,"VIA GARIBALDI, 65",46043,020017,CASTIGLIONE DELLE STIVIERE,0376635301,0376635229,direzione@ospedalecastiglione.it,,PS,X,,,
325,325,ATS DI BERGAMO,030147,00,2 - PS,POLICLINICO SAN MARCO - OSIO SOTTO,51,CASA DI CURA ACCREDITATA A CONTRATTO,01/01/1984,,CORSO EUROPA 7,24040,016153,OSIO SOTTO,035 886111,035885789,diramm.psm@grupposandonato.it,,PS,X,,,
323,323,ATS DELLA MONTAGNA,030031,00,3 - DEA,OSP. MORIGGIA PELASCINI - GRAVEDONA,4,OSPEDALE CLASSIFICATO,01/02/1974,,VIA PELASCINI 3,22015,013249,GRAVEDONA ED UNITI,034492111,034485896,direzione@ospedaledigravedona.it,,DEA-PS,X,X,,1-DEA
325,325,ATS DI BERGAMO,030354,00,,NEPHROCARE S.P.A. - SERIATE,51,CASA DI CURA ACCREDITATA A CONTRATTO,01/07/2004,,"VIA PADERNO, 21",24068,016198,SERIATE,035 3063525,035 3063375,nephrocarespa@legalmail.it,,Senza livello emergenza,,,,
321,708,ASST MELEGNANO E DELLA MARTESANA,030071,01,2 - PS,OSPEDALE S. MARIA DELLE STELLE MELZO,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,01/01/2015,,"VIA VOLONTARI DEL SANGUE, 5",20066,015142,MELZO,02951221,0295122319,dirsan.melzo@asst-melegnano-martesana.it,,PS,X,X,,
325,325,ATS DI BERGAMO,030350,00,,OSPEDALE S.ISIDORO - TRESCORE B.,51,CASA DI CURA ACCREDITATA A CONTRATTO,01/06/2003,,"VIA OSPEDALE, 34",24069,016218,TRESCORE BALNEARIO,035 955111,,ferb-trescore@ferbonlus.com,,Senza livello emergenza,,,,
321,708,ASST MELEGNANO E DELLA MARTESANA,030071,02,,OSPEDALE SERBELLONI - GORGONZOLA,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,01/01/2015,,"VIA BELLINI, 5",20064,015108,GORGONZOLA,02957071,029516573,,,Senza livello emergenza,,,,
327,327,ATS DELLA VAL PADANA,030380,00,,OSPEDALE DI VIADANA,51,CASA DI CURA ACCREDITATA A CONTRATTO,01/05/2008,,"L.GO DE GASPERI, 7",46019,020066,VIADANA,0375830985,0375821780,info.opv@consorzioinrete.it,,Senza livello emergenza,,,,
325,720,ASST DI BERGAMO EST,030133,00,2 - PS,OSPEDALE PESENTI FENAROLI - ALZANO L.,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,01/01/1984,,"VIA MAZZINI, 88",24022,016008,ALZANO LOMBARDO,035 3064111,0353064217,dirmed.alzano@asst-bergamoest.it,,PS,X,,,
321,705,ASST OVEST MILANESE,030074,00,3 - DEA,OSPEDALE DI MAGENTA - ABBIATEGRASSO,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,01/01/1995,,VIA AL DONATORE DI SANGUE   N.50,20013,015130,MAGENTA,02979631,0297963235,dirsanmagenta@asst-ovestmi.it,www.asst-ovestmi.it,DEA-PS,X,X,,1-DEA
321,705,ASST OVEST MILANESE,030074,00,3 - DEA,OSPEDALE DI MAGENTA - ABBIATEGRASSO,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,01/01/1995,,VIA AL DONATORE DI SANGUE   N.50,20013,015130,MAGENTA,02979631,0297963235,dirsanmagenta@asst-ovestmi.it,www.asst-ovestmi.it,DEA-PS,X,X,,1-DEA
321,705,ASST OVEST MILANESE,030074,00,3 - DEA,OSPEDALE DI MAGENTA - ABBIATEGRASSO,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,01/01/1995,,VIA AL DONATORE DI SANGUE   N.50,20013,015130,MAGENTA,02979631,0297963235,dirsanmagenta@asst-ovestmi.it,www.asst-ovestmi.it,DEA-PS,X,X,,1-DEA
321,705,ASST OVEST MILANESE,030074,00,3 - DEA,OSPEDALE DI MAGENTA - ABBIATEGRASSO,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,01/01/1995,,VIA AL DONATORE DI SANGUE   N.50,20013,015130,MAGENTA,02979631,0297963235,dirsanmagenta@asst-ovestmi.it,www.asst-ovestmi.it,DEA-PS,X,X,,1-DEA
321,705,ASST OVEST MILANESE,030074,00,3 - DEA,OSPEDALE DI MAGENTA - ABBIATEGRASSO,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,01/01/1995,,VIA AL DONATORE DI SANGUE   N.50,20013,015130,MAGENTA,02979631,0297963235,dirsanmagenta@asst-ovestmi.it,www.asst-ovestmi.it,DEA-PS,X,X,,1-DEA
321,702,ASST SANTI PAOLO E CARLO,030702,00,,ASST SANTI PAOLO E CARLO,0,AZIENDA OSPEDALIERA,01/01/2016,,VIA A. DI RUDIN¿ N. 8,20122,015146,MILANO,0281841,,,,Senza livello emergenza,,,,
321,705,ASST OVEST MILANESE,030074,00,3 - DEA,OSPEDALE DI MAGENTA - ABBIATEGRASSO,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,01/01/1995,,VIA AL DONATORE DI SANGUE   N.50,20013,015130,MAGENTA,02979631,0297963235,dirsanmagenta@asst-ovestmi.it,www.asst-ovestmi.it,DEA-PS,X,X,,1-DEA
321,705,ASST OVEST MILANESE,030074,00,3 - DEA,OSPEDALE DI MAGENTA - ABBIATEGRASSO,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,01/01/1995,,VIA AL DONATORE DI SANGUE   N.50,20013,015130,MAGENTA,02979631,0297963235,dirsanmagenta@asst-ovestmi.it,www.asst-ovestmi.it,DEA-PS,X,X,,1-DEA
321,705,ASST OVEST MILANESE,030074,00,3 - DEA,OSPEDALE DI MAGENTA - ABBIATEGRASSO,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,01/01/1995,,VIA AL DONATORE DI SANGUE   N.50,20013,015130,MAGENTA,02979631,0297963235,dirsanmagenta@asst-ovestmi.it,www.asst-ovestmi.it,DEA-PS,X,X,,1-DEA
321,705,ASST OVEST MILANESE,030074,00,3 - DEA,OSPEDALE DI MAGENTA - ABBIATEGRASSO,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,01/01/1995,,VIA AL DONATORE DI SANGUE   N.50,20013,015130,MAGENTA,02979631,0297963235,dirsanmagenta@asst-ovestmi.it,www.asst-ovestmi.it,DEA-PS,X,X,,1-DEA
321,705,ASST OVEST MILANESE,030074,00,3 - DEA,OSPEDALE DI MAGENTA - ABBIATEGRASSO,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,01/01/1995,,VIA AL DONATORE DI SANGUE   N.50,20013,015130,MAGENTA,02979631,0297963235,dirsanmagenta@asst-ovestmi.it,www.asst-ovestmi.it,DEA-PS,X,X,,1-DEA
321,705,ASST OVEST MILANESE,030074,00,3 - DEA,OSPEDALE DI MAGENTA - ABBIATEGRASSO,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,01/01/1995,,VIA AL DONATORE DI SANGUE   N.50,20013,015130,MAGENTA,02979631,0297963235,dirsanmagenta@asst-ovestmi.it,www.asst-ovestmi.it,DEA-PS,X,X,,1-DEA
321,702,ASST SANTI PAOLO E CARLO,030702,00,,ASST SANTI PAOLO E CARLO,0,AZIENDA OSPEDALIERA,01/01/2016,,VIA A. DI RUDIN¿ N. 8,20122,015146,MILANO,0281841,,,,Senza livello emergenza,,,,
